Incident ID,Incident Date,State,County,Address
1732485,12-07-2020,Louisiana,East Baton Rouge,4718 Plank Rd
1724887,04-07-2020,Louisiana,East Baton Rouge,11300 block of Greenwell Springs Rd
1676515,10-05-2020,Louisiana,East Baton Rouge,2944 Plank Rd
2172657,21-11-2021,Louisiana,East Baton Rouge,4888 Plank Rd
2039346,19-06-2021,Louisiana,East Baton Rouge,7132 Florida Blvd
1939789,26-02-2021,Louisiana,East Baton Rouge,4700 block of Paige St
1932479,18-02-2021,Louisiana,East Baton Rouge,2047 N Foster Dr
2442008,21-10-2022,Louisiana,East Baton Rouge,636 Harding Blvd
2293603,03-05-2022,Louisiana,East Baton Rouge,2100 block of North 39th St
2275242,10-04-2022,Louisiana,East Baton Rouge,2700 block of Lorraine St
2241857,25-02-2022,Louisiana,East Baton Rouge,6401 Bluebonnet Blvd
2508370,22-01-2023,Louisiana,East Baton Rouge,4619 Bennington Ave
374630,15-07-2015,South Carolina,Orangeburg,7050 Old State Rd
373993,13-07-2015,California,Los Angeles,11959 162nd Street
373095,12-07-2015,Illinois,Cook,116 Lathrop Ave
373063,12-07-2015,New Jersey,Hudson,Sip and Van Wagenen avenues
338034,10-05-2015,New Jersey,Hudson,Bostwick Avenue
652759,11-09-2016,New Jersey,Hudson,87 Van Wagenen Ave
881700,02-07-2017,New Jersey,Hudson,Wilkinson Avenue
1242443,26-10-2018,New Jersey,Hudson,77 Brinkerhoff St
1153471,30-06-2018,New Jersey,Hudson,Lexington Ave and John F Kennedy Blvd
1568230,10-12-2019,New Jersey,Hudson,223 Martin Luther King Dr
1434893,28-06-2019,New Jersey,Hudson,167 Armstrong Ave
1710680,20-06-2020,New Jersey,Hudson,Union St and Ocean Ave
2011482,21-05-2021,New Jersey,Hudson,16 Brinkerhoff St
2458086,11-11-2022,New Jersey,Hudson,Virginia Ave and Martin Luther King Dr
2344008,29-06-2022,New Jersey,Hudson,166 Bayview Ave
369196,05-07-2015,New Jersey,Essex,200 block of S. Clinton St
368987,04-07-2015,Massachusetts,Berkshire,Dewey Avenue
368995,04-07-2015,New York,Onondaga,Bellevue and Rich Street
287529,01-02-2015,New York,Onondaga,1217 West Fayette Street
940644,24-09-2017,New York,Onondaga,1226 E Fayette St
1214298,20-09-2018,New York,Onondaga,1317 Midland Ave
1711285,20-06-2020,New York,Onondaga,Marcellus St and Wyoming St
2107168,03-09-2021,New York,Onondaga,Nelson St and W Marcellus St
2280017,16-04-2022,New York,Onondaga,300 block of S Clinton St
369127,04-07-2015,Texas,Bexar,1100 block of West Avenue
281039,19-01-2015,Texas,Bexar,1000 block of Gibbs St.
699332,13-11-2016,Texas,Bexar,8000 Midcrown
693438,05-11-2016,Texas,Bexar,10726 Perrin Beitel Rd
688592,30-10-2016,Texas,Bexar,2900 block of Aspen Meadow
667984,02-10-2016,Texas,Bexar,2600 South Flores Street
518266,08-03-2016,Texas,Bexar,Sherman St
815227,09-04-2017,Texas,Bexar,4000 block of Moss Spring Dr
1202134,02-09-2018,Texas,Bexar,600 block of Morningview St
1151527,27-06-2018,Texas,Bexar,100 block of Holly Street
1052372,18-02-2018,Texas,Bexar,2893 Cinema Ridge
1575175,18-12-2019,Texas,Bexar,2418 SW Military Dr
1449602,16-07-2019,Texas,Bexar,6989 San Pedro Ave
1425161,17-06-2019,Texas,Bexar,E Market St and Tower of the Americas Way
1321093,05-02-2019,Texas,Bexar,538 Hot Wells Blvd
1835030,25-10-2020,Texas,Bexar,2800 block of W Hutchins Pl
1780266,30-08-2020,Texas,Bexar,S Olive St and Aransas Ave
1703985,12-06-2020,Texas,Bexar,8134 Broadway St
1644111,23-03-2020,Texas,Bexar,6700 block of Hickory Springs Dr
